guide,target,n_assigned,n_rescue,mean_ntc,mean_assigned,mean_rescue,d_assigned,d_rescue,p_assigned_vs_ntc,p_rescue_vs_ntc,ratio_rescue_over_assigned,fdr_assigned_vs_ntc,fdr_rescue_vs_ntc,responsive,rescue_significant,rescuable,condition,n_lanes_pooled
ZCCHC5-1,RTL3,69,13,1.0569779078650754e-05,0.0,0.0,-0.007576845586299896,-0.007576845586299896,0.8413413061447188,0.8413413061447188,,0.8900921115569628,1.0,False,False,False,Stim48hr,24
SLC18A3-1,SLC18A3,62,11,1.917692134156823e-05,0.04219607263803482,0.0,0.31578147411346436,-0.007576845586299896,0.04183806048379669,0.8413412810066188,-0.023993952170789593,0.05444475248933095,1.0,False,False,False,Stim48hr,24
PPIAL4A-3,PPIAL4A,63,11,2.2284375518211164e-05,0.0,0.0,-0.0075768460519611835,-0.0075768460519611835,0.8413413091463671,0.8413413091463671,,0.8900921115569628,1.0,False,False,False,Stim48hr,24
CLDN22-3,CLDN22,94,10,8.36941853776807e-06,0.22429125010967255,0.0,0.5591410994529724,-0.0075768460519611835,0.00011488770705566361,0.8413412942687166,-0.013550865889439859,0.00019211715166147863,1.0,True,False,False,Stim48hr,24
RD3-2,RD3,54,12,6.584289076272398e-05,0.09016697853803635,0.0,0.44794198870658875,-0.008604993112385273,0.011844522755944706,0.8719542263104132,-0.019210061412710568,0.01640996633918009,1.0,True,False,False,Stim48hr,24
IFNW1-3,IFNW1,108,11,5.7651526731206104e-05,0.0,0.0,-0.008657070808112621,-0.008657070808112621,0.873387380079042,0.873387380079042,,0.9212294400257112,1.0,False,False,False,Stim48hr,24
TAF1L-4,TAF1L,71,10,7.467310933861881e-05,0.0,0.0,-0.008868534117937088,-0.008868534117937088,0.8790917824061693,0.8790917824061693,,0.9268645758510495,1.0,False,False,False,Stim48hr,24
EID2-3,EID2,17,10,0.1331360638141632,0.6114526987075806,0.13055266439914703,0.9071778059005737,-0.009003528393805027,0.005417988474098127,0.5114301118848815,-0.009924767047036653,0.0077842740432904935,0.6934926112613765,True,False,False,Stim48hr,24
C1orf95-1,STUM,81,11,3.429518255870789e-05,0.2107127606868744,0.0,0.6774992346763611,-0.0092095285654068,2.2893201383459485e-05,0.8879049687265621,-0.013593415452057533,4.070079051929173e-05,1.0,True,False,False,Stim48hr,24
SOX17-3,SOX17,68,12,8.514942601323128e-05,0.0,0.0,-0.009268993511795998,-0.009268993511795998,0.8893936257901827,0.8893936257901827,,0.9369547822495508,1.0,False,False,False,Stim48hr,24
CDSN-3,CDSN,42,11,6.406188913388178e-05,0.0,0.0,-0.009394124150276184,-0.009394124150276184,0.8924797165610174,0.8924797165610174,,0.9397789664750797,1.0,False,False,False,Stim48hr,24
NAALADL2-3,NAALADL2,34,10,3.86407264159061e-05,0.0,0.0,-0.009400072507560253,-0.009400072507560253,0.8926248871341786,0.8926248871341786,,0.9397789664750797,1.0,False,False,False,Stim48hr,24
