guide,target,n_assigned,n_rescue,mean_ntc,mean_assigned,mean_rescue,d_assigned,d_rescue,p_assigned_vs_ntc,p_rescue_vs_ntc,ratio_rescue_over_assigned,fdr_assigned_vs_ntc,fdr_rescue_vs_ntc,responsive,rescue_significant,rescuable,condition,n_lanes_pooled
S100A13-4,S100A13,91,11,0.10492507368326187,4.566965579986572,4.347019672393799,5.566148281097412,6.276307582855225,3.2326470003347766e-58,1.371430452596223e-08,1.1275854084177934,1.2626915101307659e-56,5.763055524132129e-06,True,True,True,Stim8hr,24
NKG7-1,NKG7,38,10,0.5420117974281311,3.4804158210754395,3.507880687713623,3.57416033744812,4.389413356781006,3.1564803511184704e-21,9.450743534578604e-08,1.228096375753238,1.6318328232319685e-20,3.2206788231248545e-05,True,True,True,Stim8hr,24
SCGB1A1-3,SCGB1A1,124,16,0.0006000504363328218,4.468033790588379,4.055271148681641,5.965124130249023,4.3099870681762695,9.721101630657637e-81,1.7346778544489564e-09,0.7225309941699977,9.397875001438272e-79,1.3121103291051907e-06,True,True,False,Stim8hr,24
ACKR4-3,ACKR4,45,10,0.0017425445839762688,2.050917148590088,2.7034571170806885,2.4413299560546875,4.053402900695801,2.939110088326465e-15,3.999677525489256e-06,1.6603257133035407,1.062199879584901e-14,0.0003980731684579044,True,True,True,Stim8hr,24
FAIM2-3,FAIM2,71,11,0.019310077652335167,2.2304370403289795,2.305408239364624,3.6618173122406006,3.650001049041748,1.647693294777206e-33,2.98369127734848e-06,0.9967731150433546,1.794825343916466e-32,0.0003134533447481097,True,True,True,Stim8hr,24
SLC16A2-1,SLC16A2,51,13,0.005508121568709612,2.2968406677246094,2.3875646591186523,3.1595399379730225,3.478804349899292,1.3311983506464945e-21,6.257199598018807e-07,1.1010477532153276,7.022843140450196e-21,0.00010667101675510625,True,True,True,Stim8hr,24
SLA2-2,SLA2,70,12,0.7100850939750671,2.9993274211883545,3.2398717403411865,2.6817312240600586,3.430913209915161,2.6838197445971165e-28,3.1178911826958824e-07,1.2793650531170175,2.1398620520323814e-27,7.369915283097392e-05,True,True,True,Stim8hr,24
MMP11-1,MMP11,82,15,0.008785294368863106,2.4516942501068115,2.3711698055267334,3.705467700958252,3.3620734214782715,1.2373111815483765e-38,1.2352139112602275e-07,0.9073276824431159,1.8332116241561578e-37,3.3368421517044145e-05,True,True,True,Stim8hr,24
CCDC3-1,CCDC3,93,12,0.0026604614686220884,2.88397479057312,2.7860939502716064,3.513921022415161,3.3330211639404297,1.176970505205778e-41,2.6709049793914356e-06,0.9485190881295343,2.146860822467332e-40,0.0003134533447481097,True,True,True,Stim8hr,24
IL27RA-3,IL27RA,93,11,1.090232014656067,3.1371827125549316,3.4340054988861084,2.28715181350708,3.2205970287323,4.898788304054489e-32,1.3003497374053495e-06,1.40812560395538,4.972077262934044e-31,0.0001891508733410397,True,True,True,Stim8hr,24
RAB15-2,RAB15,116,12,0.09660743921995163,3.1101503372192383,2.7024805545806885,3.7540841102600098,3.214261054992676,1.2357470756104318e-55,2.9242801418354552e-06,0.8562037931457147,4.11951201843581e-54,0.0003134533447481097,True,True,True,Stim8hr,24
SYK-4,SYK,306,25,0.007305532693862915,1.7901229858398438,1.6253364086151123,3.4298901557922363,3.2132413387298584,7.553934569342816e-131,1.7254508338464887e-11,0.936835056744744,1.7182979399793334e-128,2.1752183512024734e-08,True,True,True,Stim8hr,24
EVC-2,EVC,243,33,0.008219183422625065,1.819810152053833,1.737453579902649,2.807008743286133,3.1234090328216553,9.695916371714148e-87,2.1313403284768382e-14,1.1127179565408536,1.071260245983389e-84,8.060729122299403e-11,True,True,True,Stim8hr,24
S100A4-3,S100A4,110,15,2.2420551776885986,5.999059677124023,5.288120746612549,3.7989189624786377,3.0927724838256836,1.6712218807142003e-61,2.3891527759381708e-08,0.8141190992417952,7.603076485555073e-60,9.03577579859816e-06,True,True,True,Stim8hr,24
RAB6B-2,RAB6B,91,12,0.00668203504756093,1.8669344186782837,1.7259758710861206,2.471794366836548,3.0593137741088867,1.2475069114721305e-29,5.832113005282448e-06,1.2376894353166836,1.0840694891376918e-28,0.0005251678901423385,True,True,True,Stim8hr,24
TMPRSS11E-2,TMPRSS11E,73,11,0.0003558758762665093,3.3359920978546143,2.5822854042053223,4.589558124542236,3.0373616218566895,1.8021182939657529e-40,1.5998038362506045e-05,0.661798268904076,3.0037894149851576e-39,0.0011415958695659974,True,True,False,Stim8hr,24
DR1-1,DR1,80,10,1.2118562459945679,2.6613028049468994,2.9447784423828125,2.4216859340667725,3.02536940574646,4.692595697386432e-34,2.637837207765178e-06,1.2492823132791266,5.3214860885024426e-33,0.0003134533447481097,True,True,True,Stim8hr,24
