guide,target,n_assigned,n_rescue,mean_ntc,mean_assigned,mean_rescue,d_assigned,d_rescue,p_assigned_vs_ntc,p_rescue_vs_ntc,ratio_rescue_over_assigned,fdr_assigned_vs_ntc,fdr_rescue_vs_ntc,responsive,rescue_significant,rescuable,condition,n_lanes_pooled
FOXJ3-4,FOXJ3,77,11,0.37593555450439453,0.5192488431930542,0.2163207083940506,0.2976307272911072,-0.3313729166984558,0.009593951337184181,0.8312231310784869,-1.1133693073778166,0.014129230134967193,1.0,True,False,False,Rest,24
NEK8-2,NEK8,70,12,0.036657124757766724,0.020355725660920143,0.0,-0.12387973070144653,-0.33239781856536865,0.9077562847452368,1.0,,0.9510674266914222,1.0,False,False,False,Rest,24
TOP2B-1,TOP2B,105,10,0.26293185353279114,0.3067071735858917,0.14723697304725647,0.11382953077554703,-0.3334716558456421,0.13052578650306562,0.8590641563886277,-2.9295706797139744,0.16270795457965287,1.0,False,False,False,Rest,24
ATP6AP1-2,ATP6AP1,100,12,0.5416898131370544,0.780684232711792,0.378008633852005,0.4083267152309418,-0.33492785692214966,0.0002561080875417625,0.8667657680897028,-0.8202447805373716,0.00044446950609946097,1.0,True,False,False,Rest,24
SUMO3-1,SUMO3,86,10,1.2123000621795654,1.1559154987335205,0.9648154377937317,-0.09622608870267868,-0.3350478410720825,0.8093570332962428,0.8041169353889508,,0.8693312905545516,0.990783857528158,False,False,False,Rest,24
TCERG1-3,TCERG1,69,12,0.4730554223060608,0.5294885039329529,0.3195950984954834,0.11782681941986084,-0.33645182847976685,0.16613899029553836,0.877470784184238,-2.8554774722456324,0.2008067278474519,1.0,False,False,False,Rest,24
ZFP14-2,ZFP14,77,10,0.03921464458107948,0.08751308172941208,0.0,0.2536610960960388,-0.3367263972759247,0.025190104207118563,1.0,-1.32746567155271,0.03524578299070204,1.0,True,False,False,Rest,24
CABLES2-4,CABLES2,58,11,0.1687423139810562,0.2686707377433777,0.0737227126955986,0.2677658200263977,-0.337594598531723,0.03909086641848196,0.8867325586835866,-1.2607830174084251,0.05331396265881028,1.0,False,False,False,Rest,24
STIL-4,STIL,44,10,0.28794094920158386,0.27385297417640686,0.15449345111846924,-0.03285890817642212,-0.33824262022972107,0.5880702160973756,0.875151137944534,,0.6460319622424969,1.0,False,False,False,Rest,24
SLC35A5-1,SLC35A5,46,12,0.3007926046848297,0.3262185752391815,0.15844212472438812,0.06093038246035576,-0.338309109210968,0.34441309646557455,0.8597623436665949,-5.55238775057892,0.3921964149961119,1.0,False,False,False,Rest,24
ENSA-2,ENSA,61,11,0.6031475067138672,0.757217288017273,0.42735472321510315,0.2697334587574005,-0.33861812949180603,0.03192906558405867,0.8468756788130245,-1.2553805191678526,0.04410858003807166,1.0,True,False,False,Rest,24
ARL4A-4,ARL4A,93,19,0.0367489717900753,0.006324868183583021,0.0,-0.26205652952194214,-0.34093472361564636,0.999996715654378,1.0,,1.0,1.0,False,False,False,Rest,24
PKMYT1-4,PKMYT1,122,13,0.1843850463628769,0.24582993984222412,0.07604128867387772,0.14474445581436157,-0.3419198989868164,0.08210935671420073,0.9101059288464378,-2.362231403359154,0.10606092279698667,1.0,False,False,False,Rest,24
UHRF1-4,UHRF1,69,13,0.523607611656189,0.5776276588439941,0.32462623715400696,0.07543604075908661,-0.34216606616973877,0.27445518363002225,0.930524862353651,-4.535843381050236,0.31794660544540965,1.0,False,False,False,Rest,24
TUBB4B-2,TUBB4B,93,10,0.6855642199516296,1.0883656740188599,0.44883084297180176,0.4095759689807892,-0.3429417014122009,0.0008396352219228783,0.8514315000045191,-0.8373091377055042,0.0013841045605087225,1.0,True,False,False,Rest,24
USP1-1,USP1,69,10,0.7754956483840942,1.108258605003357,0.5443819761276245,0.4483203589916229,-0.3433052897453308,0.0006809328672050946,0.8384439069816709,-0.7657588660874213,0.0011304061843447058,1.0,True,False,False,Rest,24
FDPS-2,FDPS,54,11,0.2482108473777771,0.4342309236526489,0.12929821014404297,0.4209577143192291,-0.34392932057380676,0.004821787411608174,0.871664883548626,-0.8170163151185094,0.007336147600132912,1.0,True,False,False,Rest,24
TBXAS1-3,TBXAS1,96,15,0.03662986680865288,0.14640069007873535,0.0,0.47496920824050903,-0.3457264006137848,0.0001796082566842796,1.0,-0.7278922393611674,0.00031552077330954787,1.0,True,False,False,Rest,24
PNISR-4,PNISR,40,12,0.6265407800674438,0.5838301777839661,0.4451462924480438,-0.07903581112623215,-0.34654924273490906,0.6905723684067175,0.8808917795041535,,0.7500956788618555,1.0,False,False,False,Rest,24
QPCTL-3,QPCTL,66,12,0.037210654467344284,0.04441910982131958,0.0,0.04506664350628853,-0.34766432642936707,0.36443394869791434,1.0,-7.714449077638864,0.41331543420451455,1.0,False,False,False,Rest,24
